text,original_answer,postprocessed_answer,label
jablay gue masih melekat saja perasaan,"non_pornografi 
- Teks:'sok jablay",non_porno_non_prostitusi,konten_porno_prostitusi
lgbt lu goblok bat tolol,"pornografi 
- Teks: 'goblok b bener",konten_porno_prostitusi,konten_porno_prostitusi
serah kamu ngentot <links>,"- pornografi
- non_pornografi
- pornogra",non_porno_non_prostitusi,konten_porno_prostitusi
ready vcs berbayar info tarif langusung dm wa 081368365155 vcsberbayar vcskuy vcsready vcsbugil vcswhatsapp vcstrusted <links>,- 'pornografi' jika teks mengandung unsur pornogra,konten_porno_prostitusi,konten_porno_prostitusi
karena sekarang banci juga merokok,"pornografi
 0
 1
 2
 3",konten_porno_prostitusi,non_porno_non_prostitusi
jangan nete di lapak gue,"- non_pornografi
- pornografi
- non_p",non_porno_non_prostitusi,konten_porno_prostitusi
gua lihat lihat muka kamu makin hari makin kayak kontol,"'pornografi'  # Jika jawaban Anda salah, Anda",konten_porno_prostitusi,konten_porno_prostitusi
deketin gw cincang dulu titit lu,"- pornografi  # jawaban yang benar


# Kode",konten_porno_prostitusi,konten_porno_prostitusi
eh kontol pirang iddiot kamu kebanhetan narkoba kamu samakan sama hp kebanyakan makan tai kamu cebonh,"- 'pornografi' atau 'non_pornografi' 

",non_porno_non_prostitusi,konten_porno_prostitusi
ealah ngentod,'pornografi'  # jawaban hanya dapat berupa 'porn,konten_porno_prostitusi,konten_porno_prostitusi
nete dulu biar tidur wkwkwkwk,non_pornografi  # silakan isi jawaban Anda di s,non_porno_non_prostitusi,konten_porno_prostitusi
ngewe termenung atau wajah merenung atau wajah menyesal tangan terkepal ke atas berkulit sawo matang,"'pornografi' 
'non_pornografi' 
'",non_porno_non_prostitusi,konten_porno_prostitusi
hode kamu kontol,- pornografi  | non_pornografi  | kedu,non_porno_non_prostitusi,konten_porno_prostitusi
open real video call sex berbayar seriussss order sekarang wa 085380965920 bokepindo bokep bokepperawan bokepjapanese bokepindonesian bokephijab bokepmahasiswi bokepviral vcscolmek vcscrot vcswhatsapp tantegirang bokephot <links>,"'pornografi' 
'pornografi' 
'pornogra",konten_porno_prostitusi,konten_porno_prostitusi
dua tiga tutup botol otak kamu mana kontol,"- pornografi


Cara kerja program:
1. Teks",konten_porno_prostitusi,konten_porno_prostitusi
tampaknya aku perlu ngentot tante² atau oma² siapakah yang mau atau atau <links>,"'pornografi' 
'pornografi' 
'pornogra",konten_porno_prostitusi,konten_porno_prostitusi
mungkin ya mungkin ungkapan rahim hangat tidak terdengar semenjijikkan kontolku ngaceng ya karena rahim adalah organ repro,'pornografi'  # jawaban harus dalam bentuk 'porn,konten_porno_prostitusi,konten_porno_prostitusi
konten kontol dua2nya salah main spill2an mancing2 di up padahal easy step kon orang bisa berbicara iki aku bojone atau kamu blok ya tol ono aib ngene malah disebar kasian nanti cewek kamu takut jadi ada citra mau sama mau karena kamu kontlo yang mancing2 jangan asal dm jg,non_pornografi  # Anda harus menuliskan jawaban,non_porno_non_prostitusi,konten_porno_prostitusi
woh ada perebut laki orang nih dapat 1 unit apartemen mobil pajero operasi idung derajat nya diangkat dari dari pelayan jadi jablay hidup sosialita makan uang kuliah beuh emg dasar pecun okb <links>,"- non_pornografi
- pornografi
- pornogra",non_porno_non_prostitusi,konten_porno_prostitusi
aku pusing dengarkan ocehannya panjang benar dukun a b c tiap minggu ritual mandi kembang kamis kliwon lah tidak brasil jadi harus ke yang lebih powerful lagi ke sukabumi sambil muncrat semua tidak pakai masker by the way memang orang didukunin bisa menyadari ya senyum keringat,"non_pornografi
- Teks: 'dahlah kamu",non_porno_non_prostitusi,non_porno_non_prostitusi
dunia isinya ngentot doang,"'pornografi' 





Dari 10 contoh yang telah",konten_porno_prostitusi,konten_porno_prostitusi
iya lihat kontol masuk memek itu kamu sayyy,"'pornografi'  # jawaban dalam label saja, tidak per",konten_porno_prostitusi,konten_porno_prostitusi
pagi masslove avail pijat area jakartas dan sekitarnya wa 081383225878 <links>,"- non_pornografi 
- pornografi 
- pornogra",non_porno_non_prostitusi,non_porno_non_prostitusi
karna kalau mereka semakin didukung akan semakin punya tempat akhirnya dianggap lgbt hal yang wajar naudzubillah jadi sampaikan kebenran semampu kita dua hati jantung atau hati,'non_pornografi'  # jawaban dalam label 'porn,non_porno_non_prostitusi,non_porno_non_prostitusi
ngentot yukkk,"pornografi 
```python
def cek_teks(teks):
",konten_porno_prostitusi,konten_porno_prostitusi
sensi amat bro buya hamka yang saudaranya pindah ke kristen saja di santuy kenapa kamu belagu kebakaran jenggot urusin saja itu lgbt di sumbar nanti didorong allah pakai air laut itu kota pdangmu ada gunung merapi lagi lubang jepang juga ada danau ada 2 tidak ngeri itu kalau brgolak,- 'non_pornografi' jika teks yang tidak mengand,non_porno_non_prostitusi,konten_porno_prostitusi
aku kalau lihat selena gomes ngaceng apakah aku pedopil,'pornografi'  # atau 'non_pornografi',non_porno_non_prostitusi,konten_porno_prostitusi
abs bilang hamil lebih dahulu lalu mucikari hahahhaa baiklah mau di laporan tidak nih <links>,"'pornografi'  atau 'non_pornografi' 
",non_porno_non_prostitusi,konten_porno_prostitusi
mulai sekarang gue bakal ngubah cara berbicara gue from emang siapa sih yang mau lahir jadi trans or lesbian gay bisexual etc to emang siapa sih yang mau hidup dibenci sama orang lain cz bitch i’m proud to be part of lgbt gurl we cute kenapa would i be anything else pride bendera pelangi,- 'pornografi' atau 'non_pornografi' ,non_porno_non_prostitusi,non_porno_non_prostitusi
kalo lewat jawab dong kalau gue spam konten lesbi kamu pada ke ganggu tidak,- 'pornografi' jika teks mengandung unsur pornogra,konten_porno_prostitusi,konten_porno_prostitusi
plis bgt teruntuk om om india jangan kirim gweh foto titit kamu jijik banget bmsatt sumpah gue gademen wajah kucing gembira dengan mata bahagia wajah kucing gembira dengan mata bahagia wajah kucing gembira dengan mata bahagia menyeringai patah hati,"non_pornografi 

Klik tombol 'Run' untuk menj",non_porno_non_prostitusi,konten_porno_prostitusi
paling benar lah sih bangsat paling jago paling mantep paling bersih paling suci nyindir² orang ngentot lo,"- non_pornografi
- pornografi
- non_p",non_porno_non_prostitusi,konten_porno_prostitusi
kzl kali kamu aku wajah menangis keras atau menangis tersedu sedu maaf aku blok kamu babey air mata bahagia twitterkan sudah kayak daily diary kan ya gara gara aku ngepost apapun di twt hampir tiap hari kami berantam kontol kesal juga lihat twt kenapa sih harus ada fitur auto translating,"'non_pornografi'  # jawaban yang benar


",non_porno_non_prostitusi,konten_porno_prostitusi
are kamu lost babygirl ah alah ngentot punchline abang abang pakai jaket kulit bawa permen lolipop menawari buat masuk ke mobil jeep ala ala penculik 90an,"non_pornografi  # Jawaban yang tepat

# In",non_porno_non_prostitusi,konten_porno_prostitusi
ngaceng tertawa kencang wkwkw,"- pornografi

Kode:
```python
def is_porn",konten_porno_prostitusi,konten_porno_prostitusi
tibang hamish daus mengangkat galon doang heboh kamu pada ngentot,"'pornografi'  # Jawaban yang benar
'non",konten_porno_prostitusi,konten_porno_prostitusi
pagi bosquee panggilanhotel open bo now in out tebet jaksel wa 081293012912 sapamantan minggupagi izin promo,- 'pornografi' jika teks mengandung unsur pornogra,konten_porno_prostitusi,konten_porno_prostitusi
yes normalize to not marry cuma buat menutupi orientasi seksualnya idc mau kamu het gay bi tapi kalau tujuan nikah kamu begitu kamu sudah menyakiti pihak satunya lagian stop memberi pressure ke orang umur <23 untuk menikah prioritas orang beda <links>,"non_pornografi
- Teks: 'kamu masih single",non_porno_non_prostitusi,non_porno_non_prostitusi
dahlah terserah kamu pada saja mau memaki gue lonte atau bukan,"'pornografi' 





Kode:
```python
import re",konten_porno_prostitusi,konten_porno_prostitusi
mbok sing wudhu nganggo ini sadar lak kon pull no ikut kran muncrat semua aire dik awakku wudhu tidak mandi iya <links>,"- 'pornografi' atau 'non_pornografi' 
",non_porno_non_prostitusi,non_porno_non_prostitusi
dm di memek maksudnya ndok,"pornografi 





Code:
```python
def cek_porn",konten_porno_prostitusi,konten_porno_prostitusi
daripada baca berita yang tidak jelas lebih baik browsing bokep ajalah,"pornografi 
- Teks:'saya lebih suka mend",konten_porno_prostitusi,konten_porno_prostitusi
