,text,preprocessed,final_label_hs,final_label_al,final_class,source
0,b'@sndymlndyp Terus??\nAlus nya di puji. Butut nya disebut butut. Goblog disebut goblog.',terus alus nya di puji butut nya disebut butut goblog disebut goblog,0,1,3,tesis-okky
1,b'Aku suda delete tu post baru para bajingan tu online',aku sudah delete itu post baru para bajingan itu online,0,1,3,tesis-okky
2,b'@bahanafmjkt Klo aku pura pura bisu #TikaUdjoOnBahanaFM',klo aku pura pura bisu tikaudjmengherankan syok terkejut kagetnbahanafm,0,0,4,tesis-okky
3,b'@LxCZICO KALO ITU GW JUGA TAU + GAK NANYA BOLOT',kalo itu gw juga tau gak nanya bolot,1,1,1,tesis-okky
4,"b'RT @arch_v3nture: Gaya beruk preman kampung, begini klo mantan supir tembak metromini masuk dpr. Kampungan berdebat malah ngajak berantam d\xe2\x80\xa6'",gaya beruk preman kampung begini kalau mantan supir tembak metromini masuk dpr kampungan berdebat malah mengajak berantam d,1,1,1,tesis-okky
5,b'@_nadhy_ kucing i kalau terbuka pintu sikit terus panjat pagar \xf0\x9f\x99\x84\xf0\x9f\x99\x84 belajar dr monyet ke apa',kucing i kalau terbuka pintu sikit terus panjat pagar wajah dengan mata berputar wajah dengan mata berputar belajar dari monyet ke apa,0,0,4,tesis-okky
6,b'@kopi_kwangsan @republikaonline @msaid_didu Si rijek junjungan ente bacotnya lebih kasar bos..ngomong revololusi ahlak..kelakuan dan bacotnya kaya tai..dasar kadrun',si rijek junjungan kamu bacotnya lebih kasar bos ngomong revololusi ahlak kelakuan dan bacotnya kayak tai dasar kadrun,1,1,1,jawa-okky
7,"b'@AgusKodri @detikcom Keadilan .. Bilang ke org laen anti aseng, giliran akun medsosnya diblokir, demooooooo... Nyinyiiiiiir... Eh impor barang dr china pula..'",keadilan bilang ke orang lain anti aseng giliran akun media sosialnya diblokir demooooooo nyinyiiiiiir eh impor barang dari cina pula,1,0,2,tesis-okky
8,Antena lu panjang juga hut gw akui mulai jilat prabowo karena tau jokowi bakal keok di 2019 https://t.co/iWg4u2VgoT,antena kamu panjang juga hari ulang tahun gue akui mulai jilat prabowo karena tau jokowi bakal keok di 2019 <links>,1,0,2,tesis-okky
9,kibul bgt cangkeme boyo',kibul banget cangkeme boyo,0,1,3,jawa-nina
10,@xdigeeembok Mukanya kaya silit kethek...\xf0\x9f\x98\x81\xf0\x9f\x98\x81',mukanya kayak silit kethek menyeringai menyeringai,1,1,1,jawa-nina
11,b'@turah_congor \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3 jiaaaaah hahahahaa lanjout...',berguling guling di lantai sambil tertawa terbahak bahak berguling guling di lantai sambil tertawa terbahak bahak berguling guling di lantai sambil tertawa terbahak bahak berguling guling di lantai sambil tertawa terbahak bahak jiaaaaah haha lanjout,0,0,4,jawa-okky
12,@Deva_Indra13 Ga itu namanya goblog',ga itu namanya goblog,0,1,3,jawa-nina
13,"b'Bangaat lu marawid bau ketek banget badan lu anjing tukang ngehina org gk sellamat hidup lu dukun suvk, kali mau ngentot muya bini lu jgn nyiksa gue dukun cabul arab krulut macam lu, nyiksa memek jd santapan ritual lu ngentot ma artis dukun cabul ,'",bangaat kamu marawid bau ketek banget badan kamu anjing tukang menghina orang tidak sellamat hidup kamu dukun suvk kali mau ngentot muya bini kamu jangan menyiksa gue dukun cabul arab krulut macam lu menyiksa memek jadi santapan ritual kamu ngentot sama artis dukun cabul,1,1,1,jawa-okky
14,@BoniiieJ @SnapGoal @Top55Vid @BRGoals Ada aja fens munyuk disini',ada saja fens munyuk disini,0,1,3,jawa-nina
15,@RamadanMalka Pamor RK jadi seakan tak ada artinya jika parpol pengusungnya pendukung penista agama...,pamor rk jadi seakan tak ada artinya jika partai politik pengusungnya pendukung penista agama,1,0,2,tesis-okky
16,@rekorbaik Zangku ijih di jagani wong liyo-_',zangku ijih di jagani orang liyo,0,0,4,jawa-nina
17,Semalam aku mimpi bokong ku di jurus nintjutsu chosakai sama mba2 alfajanuari',semalam aku mimpi bokong ku di jurus nintjutsu chosakai sama mbak mbak alfajanuari,0,1,3,jawa-nina
18,"b'@DivHumas_Polri Baru mantap, rejeki bekah buat keluarga.\nDaripada cari sampingan jilat2 penguasa jilat2 pantat penista agama'",baru mantap rejeki bekah buat keluarga daripada cari sampingan jilat jilat penguasa jilat jilat pantat penista agama,1,1,1,tesis-okky
19,sebenarnya presiden itu mau diganti dengan apa/siapa sih ?,sebenarnya presiden itu mau diganti dengan apa siapa sih,0,0,4,tesis-okky
20,b'@MbahUyok Islam Nusantara itu terbukti gagal merubah yahudi Israel untuk menjadi rahmah.',islam nusantara itu terbukti gagal mengubah yahudi israel untuk menjadi rahmah,0,0,4,tesis-okky
21,"b'semua diklaim sama bani bong\ndari yang paling toleran, paling pancasilais, paling bhinekais, paling aktivis, dan sampai paling islmis.\neealahh..\ndasar tutup botol penyok \xf0\x9f\x98\x82'",semua diklaim sama bani bong dari yang paling toleran paling pancasilais paling bhinekais paling aktivis dan sampai paling islmis eealahh dasar tutup botol penyok wajah gembira berurai air mata,1,1,1,tesis-okky
22,b'RT @ibunatalia: mau masak eh malah di ajak ngentot sialan  https://t.co/FxR9MYvBT6',mau masak eh malah di ajak ngentot sialan <links>,0,1,3,tesis-okky
23,b'Nyolok headset ke hp ternyata ga kecolok dalem...\n\nKampret.\xf0\x9f\x98\x82\xf0\x9f\x98\x82',nyolok headset ke handphone ternyata tidak kecolok dalem kampret wajah gembira berurai air mata wajah gembira berurai air mata,0,1,3,tesis-okky
24,"ngomong asu kasar, nek segawon ga kasar :('",berbicara anjing kasar nek segawon tidak kasar sedih atau cemberut,0,1,3,jawa-nina
25,"b'yg membedakan kita semua adalah mental dan mindset , ngga peduli duit lo banyak ya kalo mental lo pecundang dan mindset lo uang adalah segalanya geblek sih menurut gua'",yg membedakan kita semua adalah mental dan mindset tidak peduli duit kamu banyak ya kalau mental kamu pecundang dan mindset kamu uang adalah segalanya geblek sih menurut gua,0,1,3,jawa-okky
26,"b'nyesel banget njir buka album pake cutter, hasilnya album gwe kegores panjang bngt, uasu'",nyesel banget anjir buka album pakai cutter hasilnya album gue kegores panjang bngt uasu,0,1,3,jawa-okky
27,"b'Wohooo, mungkin telinga haters rusak/budeg kena azab kli yaa makamya ga denger suara merdunya anak2ku\xf0\x9f\x98\x82 https://t.co/KEcHyl8Ffr'",wohooo mungkin telinga hater rusak budeg kena azab kali ya makamya tidak dengar suara merdunya anak2ku wajah gembira berurai air mata <links>,1,1,1,jawa-okky
